,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
9110,Omega Real Estate,3 ,70,"5,000 / sq ft",1400 ,Ready to move
9111,Hyderabad properties,3 ,1.3,"10,000 / sq ft",1300 ,Ready to move
9112,Hyderabad properties,3 ,4,"28,571 / sq ft",1400 ,Ready to move
9113,Hyderabad properties,3 ,1.9,"15,966 / sq ft",1190 ,Ready to move
9114,Hyderabad properties,3 ,1.5,"7,500 / sq ft",2000 ,Ready to move
9115,Hyderabad properties,3 ,7,"45,161 / sq ft",1550 ,Ready to move
9116,Hyderabad properties,3 ,3.2,"12,800 / sq ft",2500 ,Ready to move
9117,Hyderabad properties,3 ,3,"15,000 / sq ft",2000 ,Ready to move
9118,Hyderabad properties,3 ,2,"9,523 / sq ft",2100 ,Ready to move
9119,Venu Gopal,7 ,16,"16,161 / sq ft",9900 ,Ready to move
9120,Kosher Proctor I Pvt Ltd,2 ,1.04,"5,800 / sq ft",1805 ,Ready to move
9121,Venu Gopal,3 ,1.3,"7,146 / sq ft",1819 ,Ready to move
9122,PROPBELLC,3 ,1.19,"6,349 / sq ft",1885 ,Under Construction
9123,PROPBELLC,3 ,1.24,"6,349 / sq ft",1960 ,Under Construction
9124,Ayyappa Properties,2 ,58,"5,272 / sq ft",1100 ,Under Construction
9125,Kazim Co Real Estate,4 ,7.5,"19,069 / sq ft",3933 ,Ready to move
9126,Kazim Co Real Estate,3 ,1.3,"10,833 / sq ft",1200 ,Ready to move
9127,Kazim Co Real Estate,3 ,3.5,"10,937 / sq ft",3200 ,Ready to move
9128,Kazim Co Real Estate,3 ,2.1,"10,000 / sq ft",2100 ,Ready to move
9129,Kazim Co Real Estate,3 ,55,"4,166 / sq ft",1320 ,Under Construction
9130,yadamma nagar,3 ,85,"5,483 / sq ft",1550 ,Ready to move
9131,Shaikh Hameed,3 ,85,"5,483 / sq ft",1550 ,Ready to move
9132,Moghal Constructions,3 ,65,"4,342 / sq ft",1497 ,Under Construction
9133,Moghal Constructions,3 ,6.5,446 / sq ft,1455 ,Under Construction
9134,Moghal Constructions,3 ,65,"4,342 / sq ft",1497 ,Under Construction
9135,Moghal Constructions,3 ,65,"4,467 / sq ft",1455 ,Under Construction
9136,Moghal Constructions,2 ,49,"4,375 / sq ft",1120 ,Under Construction
9137,Moghal Constructions,3 ,65,"4,467 / sq ft",1455 ,Under Construction
9138,Moghal Constructions,3 ,65,"4,467 / sq ft",1455 ,Under Construction
9139,Venu Gopal,2 ,33,"2,869 / sq ft",1150 ,Ready to move
9140,Om Sri Sai Ram Rentals,2 ,35,"3,977 / sq ft",880 ,Ready to move
9141,Om Sri Sai Ram Rentals,1 ,35,"3,888 / sq ft",900 ,Ready to move
9142,Om Sri Sai Ram Rentals,1 ,45,"4,500 / sq ft",1000 ,Ready to move
9143,Om Sri Sai Ram Rentals,2 ,79,"6,076 / sq ft",1300 ,Ready to move
9144,Om Sri Sai Ram Rentals,2 ,63,"5,250 / sq ft",1200 ,Ready to move
9145,Om Sri Sai Ram Rentals,3 ,66,"4,981 / sq ft",1325 ,Ready to move
9146,yadamma nagar,2 ,30,"3,529 / sq ft",850 ,Ready to move
9147,yadamma nagar,2 ,78,"3,900 / sq ft",2000 ,Ready to move
9148,yadamma nagar,2 ,55,"4,782 / sq ft",1150 ,Ready to move
9149,yadamma nagar,2 ,1.65,"4,714 / sq ft",3500 ,Ready to move
9150,yadamma nagar,1 ,27.6,"2,760 / sq ft",1000 ,Ready to move
9151,yadamma nagar,2 ,70,"5,833 / sq ft",1200 ,Ready to move
9152,yadamma nagar,4 ,1.5,"6,250 / sq ft",2400 ,Ready to move
9153,yadamma nagar,4 ,1,"3,333 / sq ft",3000 ,Ready to move
9154,yadamma nagar,2 ,55,"4,782 / sq ft",1150 ,Ready to move
9155,yadamma nagar,2 ,75,"5,000 / sq ft",1500 ,Ready to move
9156,yadamma nagar,2 ,90,"3,461 / sq ft",2600 ,Ready to move
9157,yadamma nagar,4 ,1.3,"4,814 / sq ft",2700 ,Ready to move
9158,yadamma nagar,4 ,1.1,"4,583 / sq ft",2400 ,Ready to move
9159,yadamma nagar,3 ,80,"5,161 / sq ft",1550 ,Ready to move
9160,S Murali Krishna,2 ,82,"7,130 / sq ft",1150 ,Ready to move
9161,S Murali Krishna,2 ,78,"6,500 / sq ft",1200 ,Ready to move
9162,S Murali Krishna,2 ,78,"6,500 / sq ft",1200 ,Ready to move
9163,S Murali Krishna,2 ,82,"7,130 / sq ft",1150 ,Ready to move
9164,S Murali Krishna,2 ,82,"6,861 / sq ft",1195 ,Ready to move
9165,S Murali Krishna,2 ,78,"6,500 / sq ft",1200 ,Ready to move
9166,S Murali Krishna,3 ,1.05,"7,023 / sq ft",1495 ,Ready to move
9167,S Murali Krishna,3 ,1.2,"7,058 / sq ft",1700 ,Ready to move
9168,Sai Ram rentals,3 ,60,"4,615 / sq ft",1300 ,Ready to move
9169,Sai Ram rentals,2 ,60,"4,800 / sq ft",1250 ,Ready to move
9170,Shaikh Hameed,2 ,65,"4,814 / sq ft",1350 ,Under Construction
9171,Royal Rajputana Co,2 ,60,"5,876 / sq ft",1021 ,Ready to move
9172,Omega Real Estate,2 ,35,"3,500 / sq ft",1000 ,Ready to move
9173,S Murali Krishna,3 ,1.02,"5,666 / sq ft",1800 ,Under Construction
9174,S Murali Krishna,3 ,1.02,"5,666 / sq ft",1800 ,Under Construction
9175,Hyderabad properties,2 ,90,"6,428 / sq ft",1400 ,Ready to move
9176,Hyderabad properties,3 ,1.2,"7,058 / sq ft",1700 ,Ready to move
9177,Hyderabad properties,3 ,1.3,"6,842 / sq ft",1900 ,Ready to move
9178,Hyderabad properties,3 ,1.5,"7,142 / sq ft",2100 ,Ready to move
9179,Hyderabad properties,3 ,1.7,"7,083 / sq ft",2400 ,Ready to move
9180,yadamma nagar,2 ,38,"4,222 / sq ft",900 ,Ready to move
9181,Royal Rajputana Co,2 ,35,"3,301 / sq ft",1060 ,Ready to move
9182,yadamma nagar,3 ,40,"3,333 / sq ft",1200 ,Ready to move
