,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
2511,Prime Nest,2 ,38.28,"2,958 / sq ft",1294 ,Under Construction
2512,Prime Nest,2 ,38.28,"2,958 / sq ft",1294 ,Under Construction
2513,Prime Nest,2 ,38.28,"2,958 / sq ft",1294 ,Under Construction
2514,Prime Nest,2 ,31.25,"2,990 / sq ft",1045 ,Under Construction
2515,Prime Nest,2 ,31.25,"2,990 / sq ft",1045 ,Under Construction
2516,Prime Nest,2 ,31.25,"2,990 / sq ft",1045 ,Under Construction
2517,Prime Nest,3 ,42,"2,699 / sq ft",1556 ,Under Construction
2518,Prime Nest,3 ,42,"2,699 / sq ft",1556 ,Under Construction
2519,Prime Nest,3 ,37,"2,859 / sq ft",1294 ,Under Construction
2520,Prime Nest,3 ,41.99,"2,699 / sq ft",1556 ,Under Construction
2521,Prime Nest,2 ,42,"2,699 / sq ft",1556 ,Under Construction
2522,Prime Nest,2 ,94,"6,573 / sq ft",1430 ,Ready to move
2523,Mega Property Solutions Pvt Ltd,3 ,1.4,"4,895 / sq ft",2860 ,Ready to move
2524,Prime Nest,2 ,38,"2,934 / sq ft",1295 ,Under Construction
2525,Prime Nest,2 ,80,"6,240 / sq ft",1282 ,Ready to move
2526,Mega Property Solutions Pvt Ltd,3 ,88.85,"6,044 / sq ft",1470 ,Under Construction
2527,Mega Property Solutions Pvt Ltd,3 ,88.85,"6,044 / sq ft",1470 ,Under Construction
2528,Mega Property Solutions Pvt Ltd,2 ,77.02,"6,137 / sq ft",1255 ,Under Construction
2529,Mega Property Solutions Pvt Ltd,2 ,77.02,"6,137 / sq ft",1255 ,Under Construction
2530,Prime Nest,2 ,31.25,"2,990 / sq ft",1045 ,Under Construction
2531,Mega Property Solutions Pvt Ltd,3 ,1.4,"4,895 / sq ft",2860 ,Ready to move
2532,Mega Property Solutions Pvt Ltd,3 ,1.4,"4,895 / sq ft",2860 ,Ready to move
2533,Prime Nest,2 ,38.28,"2,958 / sq ft",1294 ,Under Construction
2534,Prime Nest,2 ,31.25,"2,990 / sq ft",1045 ,Under Construction
2535,Upender vanam,3 ,2.25,"6,278 / sq ft",3585 ,Under Construction
2536,Upender vanam,3 ,2.88,"8,394 / sq ft",3431 ,Ready to move
2537,Upender vanam,3 ,2.88,"8,394 / sq ft",3431 ,Ready to move
2538,Upender vanam,3 ,2.3,"6,272 / sq ft",3670 ,Under Construction
2539,Upender vanam,3 ,2.25,"6,278 / sq ft",3585 ,Under Construction
2540,Upender vanam,3 ,2.88,"8,394 / sq ft",3431 ,Ready to move
2541,Upender vanam,2 ,57,"5,533 / sq ft",1030 ,Under Construction
2542,Upender vanam,3 ,85,"5,230 / sq ft",1625 ,Under Construction
2543,Upender vanam,2 ,79,"6,044 / sq ft",1307 ,Under Construction
2544,Upender vanam,3 ,1.06,"5,967 / sq ft",1792 ,Under Construction
2545,Upender vanam,3 ,99.51,"6,208 / sq ft",1603 ,Under Construction
2546,Upender vanam,2 ,79.68,"6,354 / sq ft",1254 ,Under Construction
2547,Upender vanam,3 ,1.05,"5,000 / sq ft",2102 ,Under Construction
2548,Upender vanam,2 ,60,"4,827 / sq ft",1243 ,Under Construction
2549,Upender vanam,3 ,99.28,"5,198 / sq ft",1910 ,Under Construction
2550,Upender vanam,3 ,86.09,"5,249 / sq ft",1640 ,Under Construction
2551,Upender vanam,3 ,96.35,"5,208 / sq ft",1850 ,Under Construction
2552,Upender vanam,2 ,65.18,"5,277 / sq ft",1235 ,Under Construction
2553,Upender vanam,2 ,53.95,"4,281 / sq ft",1260 ,Under Construction
2554,Upender vanam,2 ,70,"6,113 / sq ft",1145 ,Under Construction
2555,Upender vanam,3 ,98.64,"5,830 / sq ft",1692 ,Under Construction
2556,Upender vanam,3 ,65,"4,093 / sq ft",1588 ,Under Construction
2557,Upender vanam,3 ,81,"5,436 / sq ft",1490 ,Ready to move
2558,Upender vanam,3 ,1.21,"5,813 / sq ft",2090 ,Under Construction
2559,Upender vanam,3 ,1.04,"5,856 / sq ft",1792 ,Under Construction
2560,Upender vanam,2 ,75.09,"5,988 / sq ft",1254 ,Under Construction
2561,Upender vanam,2 ,80.42,"5,957 / sq ft",1350 ,Under Construction
2562,Upender vanam,3 ,1.06,"5,851 / sq ft",1826 ,Under Construction
2563,Upender vanam,3 ,94.96,"5,891 / sq ft",1612 ,Under Construction
2564,Upender vanam,3 ,75.44,"4,924 / sq ft",1532 ,Under Construction
2565,Upender vanam,3 ,72.38,"4,943 / sq ft",1464 ,Under Construction
2566,Upender vanam,2 ,55.67,"4,993 / sq ft",1115 ,Under Construction
2567,Upender vanam,2 ,56.11,"4,845 / sq ft",1158 ,Under Construction
2568,Upender vanam,2 ,50.35,"4,888 / sq ft",1030 ,Under Construction
2569,Upender vanam,3 ,68.71,"4,778 / sq ft",1438 ,Under Construction
2570,Upender vanam,2 ,30.84,"2,400 / sq ft",1285 ,Under Construction
2571,Upender vanam,3 ,38.04,"2,400 / sq ft",1585 ,Under Construction
2572,Upender vanam,3 ,38.04,"2,400 / sq ft",1585 ,Under Construction
2573,Upender vanam,3 ,40.44,"2,400 / sq ft",1685 ,Under Construction
2574,Upender vanam,3 ,42.84,"2,400 / sq ft",1785 ,Under Construction
2575,Upender vanam,3 ,45.24,"2,400 / sq ft",1885 ,Under Construction
2576,Upender vanam,3 ,45.24,"2,400 / sq ft",1885 ,Under Construction
2577,Upender vanam,2 ,30.96,"2,400 / sq ft",1290 ,Under Construction
2578,Upender vanam,3 ,37.44,"2,400 / sq ft",1560 ,Under Construction
2579,Upender vanam,3 ,40.2,"2,400 / sq ft",1675 ,Under Construction
2580,Upender vanam,3 ,45.6,"2,400 / sq ft",1900 ,Under Construction
2581,Upender vanam,2 ,60.81,"5,311 / sq ft",1145 ,Under Construction
2582,Upender vanam,2 ,60.81,"5,311 / sq ft",1145 ,Under Construction
2583,Upender vanam,2 ,53.26,"4,600 / sq ft",1158 ,Under Construction
2584,Upender vanam,2 ,69,"5,348 / sq ft",1290 ,Under Construction
2585,Upender vanam,3 ,90,"5,972 / sq ft",1507 ,Under Construction
2586,Upender vanam,3 ,1.1,"6,226 / sq ft",1770 ,Under Construction
2587,Upender vanam,2 ,57.92,"4,972 / sq ft",1165 ,Under Construction
2588,Upender vanam,2 ,53.47,"5,015 / sq ft",1066 ,Under Construction
2589,Upender vanam,2 ,33.92,"2,640 / sq ft",1285 ,Under Construction
2590,Upender vanam,3 ,43.2,"2,400 / sq ft",1800 ,Under Construction
2591,Upender vanam,3 ,2.88,"8,394 / sq ft",3431 ,Ready to move
2592,Upender vanam,3 ,1.21,"5,813 / sq ft",2090 ,Under Construction
2593,Upender vanam,3 ,75.44,"4,924 / sq ft",1532 ,Under Construction
2594,Ram mohan,2 ,75,"6,000 / sq ft",1250 ,Ready to move
2595,Ram mohan,2 ,65,"5,416 / sq ft",1200 ,Ready to move
2596,Ram mohan,3 ,64,"4,848 / sq ft",1320 ,Under Construction
2597,Ram mohan,3 ,80,"4,651 / sq ft",1720 ,Under Construction
2598,Ram mohan,3 ,1.02,"6,067 / sq ft",1681 ,Ready to move
2599,Ram mohan,2 ,50,"4,651 / sq ft",1075 ,Ready to move
2600,Ram mohan,3 ,90.4,"5,927 / sq ft",1525 ,Ready to move
2601,Ram mohan,2 ,63,"5,727 / sq ft",1100 ,Under Construction
2602,Ram mohan,2 ,55,"4,296 / sq ft",1280 ,Under Construction
2603,Ram mohan,3 ,3.2,"10,666 / sq ft",3000 ,Ready to move
2604,Ram mohan,2 ,55,"4,296 / sq ft",1280 ,Under Construction
2605,Ram mohan,3 ,66,"4,782 / sq ft",1380 ,Ready to move
2606,Ram mohan,3 ,85,"5,666 / sq ft",1500 ,Ready to move
2607,Ram mohan,3 ,2.25,"6,250 / sq ft",3600 ,Ready to move
2608,Ram mohan,2 ,65,"5,416 / sq ft",1200 ,Under Construction
2609,Ram mohan,3 ,2.17,"6,653 / sq ft",3266 ,Ready to move
2610,Ram mohan,2 ,60,"6,000 / sq ft",1000 ,Under Construction
2611,Ram mohan,3 ,95,"6,129 / sq ft",1550 ,Ready to move
2612,Ram mohan,Residential Plot,33,"2,444 / sq ft",1350 ,Resale
2613,Ram mohan,Residential Plot,40,"2,469 / sq ft",1620 ,Resale
2614,Ram mohan,Residential Plot,44.6,"2,441 / sq ft",1827 ,Resale
2615,Ram mohan,Residential Plot,3.45,"9,583 / sq ft",3600 ,Resale
2616,Ram mohan,2 ,60,"5,454 / sq ft",1100 ,Ready to move
2617,Ram mohan,2 ,72.6,"6,980 / sq ft",1040 ,Under Construction
2618,Ram mohan,2 ,72.6,"6,980 / sq ft",1040 ,Under Construction
2619,Ram mohan,2 ,52,"4,333 / sq ft",1200 ,Ready to move
2620,3M Estate,4 ,3,"8,802 / sq ft",3408 ,Ready to move
2621,3M Estate,4 ,3.01,"8,845 / sq ft",3403 ,Ready to move
2622,3M Estate,5 ,3.42,"8,405 / sq ft",4069 ,Under Construction
2623,3M Estate,5 ,3.32,"8,197 / sq ft",4050 ,Under Construction
2624,3M Estate,4 ,4.3,"9,148 / sq ft",4700 ,Ready to move
2625,3M Estate,3 ,3.55,"8,795 / sq ft",4036 ,Ready to move
2626,3M Estate,3 ,2.5,"8,915 / sq ft",2804 ,Ready to move
2627,3M Estate,2 ,1.06,"8,631 / sq ft",1228 ,Ready to move
2628,3M Estate,3 ,1.2,"7,272 / sq ft",1650 ,Ready to move
2629,3M Estate,3 ,63,"7,526 / sq ft",837 ,Under Construction
2630,3M Estate,1 ,66,"8,250 / sq ft",800 ,Under Construction
2631,3M Estate,3 ,97,"7,265 / sq ft",1335 ,Under Construction
2632,3M Estate,3 ,1.66,"8,301 / sq ft",2008 ,Under Construction
2633,3M Estate,3 ,1.28,"8,437 / sq ft",1517 ,Under Construction
2634,3M Estate,3 ,1.75,"8,612 / sq ft",2032 ,Under Construction
2635,3M Estate,2 ,1.37,"9,133 / sq ft",1500 ,Under Construction
2636,3M Estate,3 ,1.68,"8,076 / sq ft",2080 ,Under Construction
2637,3M Estate,3 ,2,"8,547 / sq ft",2340 ,Under Construction
2638,3M Estate,3 ,1.19,"7,950 / sq ft",1500 ,Under Construction
2639,3M Estate,3 ,1.42,"8,179 / sq ft",1736 ,Under Construction
2640,3M Estate,3 ,2,"8,547 / sq ft",2340 ,Under Construction
2641,3M Estate,3 ,1.19,"7,950 / sq ft",1500 ,Under Construction
2642,3M Estate,3 ,1.42,"8,179 / sq ft",1736 ,Under Construction
2643,3M Estate,3 ,1.68,"7,980 / sq ft",2105 ,Under Construction
2644,3M Estate,3 ,2.08,"7,202 / sq ft",2888 ,Under Construction
2645,3M Estate,3 ,1.4,"9,333 / sq ft",1500 ,Under Construction
2646,3M Estate,3 ,1.75,"8,750 / sq ft",2000 ,Under Construction
2647,3M Estate,2 ,91,"8,956 / sq ft",1016 ,Under Construction
2648,3M Estate,3 ,1.22,"7,840 / sq ft",1556 ,Under Construction
2649,3M Estate,3 ,94,"8,173 / sq ft",1150 ,Under Construction
2650,3M Estate,2 ,76,"8,444 / sq ft",900 ,Under Construction
2651,3M Estate,3 ,1.1,"6,940 / sq ft",1585 ,Under Construction
2652,3M Estate,2 ,81,"8,100 / sq ft",1000 ,Under Construction
2653,3M Estate,3 ,78,"7,344 / sq ft",1062 ,Under Construction
2654,3M Estate,3 ,99,"6,894 / sq ft",1436 ,Under Construction
2655,3M Estate,3 ,98,"7,122 / sq ft",1376 ,Under Construction
2656,3M Estate,3 ,95,"7,169 / sq ft",1325 ,Under Construction
2657,3M Estate,3 ,85,"7,264 / sq ft",1170 ,Under Construction
2658,3M Estate,3 ,1.02,"8,614 / sq ft",1184 ,Under Construction
2659,N K Realtors Pvt Ltd,3 ,2.05,"7,250 / sq ft",2830 ,Under Construction
2660,N K Realtors Pvt Ltd,4 ,2.57,"7,250 / sq ft",3554 ,Under Construction
2661,N K Realtors Pvt Ltd,3 ,2.08,"7,250 / sq ft",2874 ,Under Construction
2662,N K Realtors Pvt Ltd,4 ,2.56,"7,250 / sq ft",3541 ,Under Construction
2663,Vinay,2 ,42,"3,500 / sq ft",1200 ,Under Construction
2664,Vinay,2 ,40.25,"3,500 / sq ft",1150 ,Under Construction
2665,Vinay,2 ,39.37,"3,500 / sq ft",1125 ,Under Construction
2666,Vinay,2 ,40.25,"3,500 / sq ft",1150 ,Under Construction
2667,Vinay,2 ,42,"3,500 / sq ft",1200 ,Under Construction
2668,Vinay,2 ,40.25,"3,500 / sq ft",1150 ,Under Construction
2669,Vinay,2 ,35.87,"3,500 / sq ft",1025 ,Under Construction
2670,Vinay,2 ,40.25,"3,500 / sq ft",1150 ,Under Construction
2671,Vinay,2 ,35.87,"3,500 / sq ft",1025 ,Under Construction
2672,N K Realtors Pvt Ltd,3 ,69.7,"4,199 / sq ft",1660 ,Under Construction
2673,N K Realtors Pvt Ltd,3 ,57.1,"4,199 / sq ft",1360 ,Under Construction
2674,N K Realtors Pvt Ltd,3 ,1.94,"9,003 / sq ft",2165 ,Ready to move
2675,N K Realtors Pvt Ltd,3 ,1.78,"9,000 / sq ft",1980 ,Ready to move
2676,N K Realtors Pvt Ltd,3 ,1.87,"9,004 / sq ft",2085 ,Ready to move
2677,N K Realtors Pvt Ltd,3 ,2.32,"9,000 / sq ft",2580 ,Ready to move
2678,N K Realtors Pvt Ltd,3 ,1.96,"9,003 / sq ft",2185 ,Ready to move
2679,N K Realtors Pvt Ltd,3 ,1.72,"9,004 / sq ft",1920 ,Ready to move
2680,N K Realtors Pvt Ltd,3 ,1.98,"9,000 / sq ft",2210 ,Ready to move
2681,Vinay,2 ,40.25,"3,500 / sq ft",1150 ,Under Construction
2682,N K Realtors Pvt Ltd,3 ,1.01,"5,626 / sq ft",1795 ,Under Construction
2683,N K Realtors Pvt Ltd,2 ,71,"5,419 / sq ft",1310 ,Under Construction
2684,N K Realtors Pvt Ltd,3 ,82,"5,521 / sq ft",1485 ,Under Construction
2685,Sand Stone Properties,Residential Plot,10,556 / sq ft,1800 ,New
2686,Sand Stone Properties,Residential Plot,32.92,556 / sq ft,5922 ,New
2687,Sand Stone Properties,Residential Plot,25.02,556 / sq ft,4500 ,New
2688,Sand Stone Properties,Residential Plot,14.46,556 / sq ft,2601 ,New
2689,Sand Stone Properties,Residential Plot,33.57,556 / sq ft,6039 ,New
2690,Sand Stone Properties,Residential Plot,20.01,556 / sq ft,3600 ,New
2691,Sand Stone Properties,Residential Plot,11,556 / sq ft,1980 ,New
2692,Sand Stone Properties,Residential Plot,22.01,556 / sq ft,3960 ,New
2693,Sand Stone Properties,Residential Plot,22.01,556 / sq ft,3960 ,New
2694,Sand Stone Properties,Residential Plot,8.25,556 / sq ft,1485 ,New
2695,Sand Stone Properties,Residential Plot,8.25,556 / sq ft,1485 ,New
2696,Sand Stone Properties,Residential Plot,7.85,556 / sq ft,1413 ,New
2697,Sand Stone Properties,Residential Plot,7.85,556 / sq ft,1413 ,New
2698,Sand Stone Properties,Residential Plot,9.15,556 / sq ft,1647 ,New
2699,Sand Stone Properties,Residential Plot,9.15,556 / sq ft,1647 ,New
2700,Sand Stone Properties,Residential Plot,10.85,556 / sq ft,1953 ,New
2701,Sand Stone Properties,Residential Plot,10.85,556 / sq ft,1953 ,New
2702,Sand Stone Properties,Residential Plot,11.9,556 / sq ft,2142 ,New
2703,Sand Stone Properties,Residential Plot,11.9,556 / sq ft,2142 ,New
2704,Hrushi Properties,3 ,76,"3,788 / sq ft",2006 ,Under Construction
2705,Hrushi Properties,3 ,84,"4,187 / sq ft",2006 ,Under Construction
2706,Hrushi Properties,3 ,82,"4,555 / sq ft",1800 ,Under Construction
2707,Hrushi Properties,3 ,84,"4,187 / sq ft",2006 ,Under Construction
2708,Hrushi Properties,3 ,84,"4,187 / sq ft",2006 ,Under Construction
2709,Hrushi Properties,3 ,76,"3,788 / sq ft",2006 ,Under Construction
2710,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2711,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2712,Hrushi Properties,3 ,73,"4,055 / sq ft",1800 ,Under Construction
2713,Hrushi Properties,3 ,88,"4,888 / sq ft",1800 ,Under Construction
2714,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2715,Hrushi Properties,3 ,76,"3,788 / sq ft",2006 ,Under Construction
2716,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2717,Hrushi Properties,3 ,76,"3,788 / sq ft",2006 ,Under Construction
2718,Hrushi Properties,3 ,76,"3,788 / sq ft",2006 ,Under Construction
2719,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2720,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2721,Hrushi Properties,3 ,80,"4,444 / sq ft",1800 ,Under Construction
2722,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2723,Hrushi Properties,3 ,76,"3,788 / sq ft",2006 ,Under Construction
2724,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2725,Hrushi Properties,3 ,84,"4,666 / sq ft",1800 ,Under Construction
2726,Hrushi Properties,3 ,1.15,"5,732 / sq ft",2006 ,Under Construction
2727,Hrushi Properties,3 ,78,"3,900 / sq ft",2000 ,Under Construction
2728,Hrushi Properties,3 ,75,"3,738 / sq ft",2006 ,Under Construction
2729,Dhathrri services,3 ,1.53,"5,684 / sq ft",2700 ,Under Construction
2730,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2731,Hrushi Properties,3 ,80,"4,444 / sq ft",1800 ,Under Construction
2732,Hrushi Properties,3 ,1.8,"4,500 / sq ft",4000 ,Under Construction
2733,Hrushi Properties,3 ,74,"4,111 / sq ft",1800 ,Under Construction
2734,Hrushi Properties,3 ,76,"3,788 / sq ft",2006 ,Under Construction
2735,Hrushi Properties,3 ,76,"3,788 / sq ft",2006 ,Under Construction
2736,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2737,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2738,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2739,Hrushi Properties,3 ,76,"3,788 / sq ft",2006 ,Under Construction
2740,Hrushi Properties,3 ,84,"4,187 / sq ft",2006 ,Under Construction
2741,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2742,Hrushi Properties,3 ,78,"3,888 / sq ft",2006 ,Under Construction
2743,Hrushi Properties,3 ,76,"4,222 / sq ft",1800 ,Under Construction
2744,Dhathrri services,3 ,1.53,"5,684 / sq ft",2700 ,Under Construction
2745,Dhathrri services,3 ,1.53,"5,684 / sq ft",2700 ,Under Construction
2746,Hrushi Properties,3 ,1.08,"4,500 / sq ft",2400 ,Under Construction
2747,Hrushi Properties,3 ,1.08,"4,500 / sq ft",2400 ,Under Construction
2748,Hrushi Properties,3 ,74,"4,111 / sq ft",1800 ,Under Construction
2749,Amrutha Realtors,3 ,73,"3,639 / sq ft",2006 ,Ready to move
2750,Safekeys,3 ,95,"5,337 / sq ft",1780 ,Ready to move
2751,Mohan Rao,2 ,70,"5,737 / sq ft",1220 ,Ready to move
2752,Mahesh Plot Sweety,Residential Plot,4,"5,555 / sq ft",7200 ,New
2753,Mahesh Plot Sweety,Residential Plot,2,"5,555 / sq ft",3600 ,New
2754,Mahesh Plot Sweety,Residential Plot,1,"5,555 / sq ft",1800 ,New
2755,Mahesh Plot Sweety,Residential Plot,25,"5,555 / sq ft",45000 ,New
2756,Mahesh Plot Sweety,Residential Plot,20,"5,555 / sq ft",36000 ,New
2757,Mahesh Plot Sweety,Residential Plot,10,"5,555 / sq ft",18000 ,New
2758,Mahesh Plot Sweety,Residential Plot,5,"5,555 / sq ft",9000 ,New
2759,Kosher Proctor I Pvt Ltd,4 ,3.24,"8,000 / sq ft",4062 ,Ready to move
2760,Kosher Proctor I Pvt Ltd,4 ,3.25,"8,000 / sq ft",4068 ,Ready to move
2761,Prasad,3 ,88.55,"5,769 / sq ft",1535 ,Under Construction
2762,Dhathrri services,3 ,49.6,"2,979 / sq ft",1665 ,Under Construction
2763,Dhathrri services,1 ,23.44,"4,150 / sq ft",565 ,Under Construction
2764,Dhathrri services,1 ,23.44,"4,150 / sq ft",565 ,Under Construction
2765,Dhathrri services,1 ,23.44,"4,150 / sq ft",565 ,Under Construction
2766,Dhathrri services,2 ,55,"4,774 / sq ft",1152 ,Ready to move
2767,Dhathrri services,3 ,49.6,"2,979 / sq ft",1665 ,Under Construction
2768,Dhathrri services,2 ,55,"4,774 / sq ft",1152 ,Ready to move
2769,Dhathrri services,2 ,35.73,"4,150 / sq ft",861 ,Under Construction
2770,Dhathrri services,2 ,37.48,"2,999 / sq ft",1250 ,Under Construction
2771,Dhathrri services,1 ,23.44,"4,150 / sq ft",565 ,Under Construction
2772,Dhathrri services,2 ,55,"4,774 / sq ft",1152 ,Ready to move
2773,Dhathrri services,2 ,35.73,"4,150 / sq ft",861 ,Under Construction
2774,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2775,Remax Central,2 ,85,"5,944 / sq ft",1430 ,Ready to move
2776,Omega Real Estate,3 ,80,"4,210 / sq ft",1900 ,Ready to move
2777,Dhathrri services,3 ,49.6,"2,979 / sq ft",1665 ,Under Construction
2778,Mahesh Bairi,2 ,25,"2,593 / sq ft",964 ,Under Construction
2779,Mahesh Bairi,2 ,31,"2,966 / sq ft",1045 ,Under Construction
2780,Kosher Proctor I Pvt Ltd,3 ,2.44,"7,790 / sq ft",3135 ,Ready to move
2781,Kosher Proctor I Pvt Ltd,3 ,2.44,"7,790 / sq ft",3140 ,Ready to move
2782,Nityashree Real Estate,4 ,2.1,"4,200 / sq ft",5000 ,Ready to move
2783,Nityashree Real Estate,2 ,1.2,"4,800 / sq ft",2500 ,Ready to move
2784,Dhathrri services,Residential Plot,44,"2,444 / sq ft",1800 ,New
2785,Dhathrri services,Residential Plot,44,"2,444 / sq ft",1800 ,New
2786,Dhathrri services,Residential Plot,72.16,"2,444 / sq ft",2952 ,New
2787,Jakir Hussain,Residential Plot,9.94,944 / sq ft,1053 ,New
2788,Dhathrri services,Residential Plot,44,"2,444 / sq ft",1800 ,New
2789,Dhathrri services,Residential Plot,44,"2,444 / sq ft",1800 ,New
2790,Dhathrri services,Residential Plot,72.16,"2,444 / sq ft",2952 ,New
2791,Mahesh Plot Sweety,Residential Plot,1.1,"2,777 / sq ft",3960 ,New
2792,Jakir Hussain,Residential Plot,10.45,944 / sq ft,1107 ,New
2793,Dhathrri services,Residential Plot,72.16,"2,444 / sq ft",2952 ,New
2794,Mahesh Plot Sweety,Residential Plot,1.25,"2,777 / sq ft",4500 ,New
2795,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Under Construction
2796,Kosher Proctor I Pvt Ltd,3 ,1.45,"7,000 / sq ft",2075 ,Under Construction
2797,Omega Real Estate,4 ,2.2,"8,800 / sq ft",2500 ,Ready to move
2798,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2799,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2800,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2801,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2802,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2803,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2804,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2805,Shiva Rao,2 ,18,"3,302 / sq ft",545 ,Ready to move
2806,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2807,Forprops,3 ,2.34,"8,161 / sq ft",2875 ,Under Construction
2808,Jakir Hussain,Residential Plot,9,666 / sq ft,1350 ,New
2809,Nityashree Real Estate,2 ,1.9,"6,333 / sq ft",3000 ,Ready to move
2810,Kosher Proctor I Pvt Ltd,4 ,2.44,"7,790 / sq ft",3140 ,Ready to move
2811,Kosher Proctor I Pvt Ltd,4 ,3.24,"8,000 / sq ft",4060 ,Ready to move
2812,Kosher Proctor I Pvt Ltd,3 ,2.67,"7,800 / sq ft",3431 ,Under Construction
2813,Kosher Proctor I Pvt Ltd,4 ,3.24,"8,000 / sq ft",4062 ,Ready to move
2814,Kosher Proctor I Pvt Ltd,4 ,3.24,"8,000 / sq ft",4061 ,Ready to move
2815,Kosher Proctor I Pvt Ltd,4 ,2.44,"7,790 / sq ft",3135 ,Ready to move
2816,Kosher Proctor I Pvt Ltd,4 ,3.03,"7,500 / sq ft",4050 ,Ready to move
2817,Kosher Proctor I Pvt Ltd,3 ,1.27,"7,000 / sq ft",1825 ,Under Construction
2818,Kosher Proctor I Pvt Ltd,4 ,3.05,"7,500 / sq ft",4069 ,Ready to move
2819,Kosher Proctor I Pvt Ltd,4 ,3.24,"8,000 / sq ft",4050 ,Ready to move
2820,Kosher Proctor I Pvt Ltd,4 ,3.25,"8,000 / sq ft",4063 ,Ready to move
2821,Kosher Proctor I Pvt Ltd,4 ,3.25,"8,000 / sq ft",4067 ,Ready to move
2822,Kosher Proctor I Pvt Ltd,4 ,3.24,"8,000 / sq ft",4062 ,Ready to move
2823,Kosher Proctor I Pvt Ltd,4 ,3.24,"8,000 / sq ft",4061 ,Ready to move
2824,Kosher Proctor I Pvt Ltd,4 ,2.44,"7,790 / sq ft",3135 ,Ready to move
2825,Mahesh Bairi,2 ,38.65,"3,698 / sq ft",1045 ,Under Construction
2826,Fido Property Management,4 ,2.31,"9,347 / sq ft",2477 ,Under Construction
2827,Mahesh Bairi,2 ,31,"3,215 / sq ft",964 ,Under Construction
2828,Orange Property,3 ,1.15,"7,666 / sq ft",1500 ,Ready to move
2829,Shiva Rao,2 ,45,"4,736 / sq ft",950 ,Ready to move
2830,Forprops,4 ,2.6,"7,594 / sq ft",3428 ,Under Construction
2831,Forprops,4 ,3.13,"7,527 / sq ft",4162 ,Under Construction
2832,Forprops,4 ,2.86,"8,061 / sq ft",3553 ,Under Construction
2833,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2834,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2835,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2836,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2837,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2838,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2839,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2840,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2841,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2842,Ravi Teja,Residential Plot,18.62,"1,655 / sq ft",1125 ,New
2843,Fido Property Management,4 ,3.16,"9,103 / sq ft",3477 ,Under Construction
2844,Fido Property Management,4 ,3.71,"9,009 / sq ft",4125 ,Under Construction
2845,Jakir Hussain,Residential Plot,20.8,"1,777 / sq ft",1170 ,New
2846,Jakir Hussain,Residential Plot,9,666 / sq ft,1350 ,New
2847,Jakir Hussain,Residential Plot,20.8,"1,777 / sq ft",1170 ,New
2848,Jakir Hussain,Residential Plot,20.8,"1,777 / sq ft",1170 ,New
2849,Jakir Hussain,Residential Plot,6.3,666 / sq ft,945 ,New
2850,Jakir Hussain,Residential Plot,6,666 / sq ft,900 ,New
2851,Mythri Projects,Residential Plot,9,598 / sq ft,1503 ,New
2852,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
